block_number,average_gwei_paid
4.688152e+06,67.86761142714755
4.688153e+06,48.511663647902985
4.688154e+06,32.239047758899076
4.688155e+06,44.95533480534
4.688156e+06,35.75890544041451
4.688157e+06,53.07594397575789
4.688158e+06,64.4882332415272
4.688159e+06,59.21560879112242
4.68816e+06,45.35086980600714
4.688161e+06,45.359207589508934
4.688162e+06,50.08120119366261
4.688163e+06,45.520206310689325
4.688164e+06,72.32854166666667
4.688165e+06,77.12607797560278
4.688166e+06,62.01276595744681
4.688167e+06,63.439016916986596
4.688168e+06,50.794278523116276
4.688169e+06,35.71077381242856
4.68817e+06,45.487916401143835
4.688171e+06,14.585819901492611
4.688172e+06,69.59409722222223
4.688173e+06,65.12345841496105
4.688174e+06,54.063297868348315
4.688175e+06,36.03669523225
4.688176e+06,47.944119590720724
4.688177e+06,46.357142857142854
4.688178e+06,86.15353026932033
4.688179e+06,40.74
4.68818e+06,47.74090899781818
4.688181e+06,55.868215432124984
4.688182e+06,68.18216911764706
4.688183e+06,60.73774820189087
4.688184e+06,45.288629021853836
4.688185e+06,60.68134079544898
4.688186e+06,55.59384852078048
4.688187e+06,35.6291545077551
4.688188e+06,53.47302070941111
4.688189e+06,33.66291250801538
4.68819e+06,43.08568025889189
4.688191e+06,57.47026856925
4.688192e+06,76.0367541722649
4.688193e+06,70.20129789652633
4.688194e+06,68.49007957674286
4.688195e+06,39.268392083212596
4.688196e+06,61.73055694444444
4.688197e+06,47.92206079782075
4.688198e+06,75.53636363636366
4.688199e+06,65.15411483525928
4.6882e+06,67.88936170212766
4.688201e+06,47.919411764705885
4.688202e+06,74.6305976472206
4.688203e+06,46.63962821365217
4.688204e+06,38.98241312153459
4.688205e+06,50.18350231452986
4.688206e+06,64.40226293105174
4.688207e+06,54.74328358208951
4.688208e+06,43.93921317810475
4.688209e+06,72.24336890243904
4.68821e+06,51.875904068285706
4.688211e+06,63.51304347827166
4.688212e+06,29.99342723004695
4.688213e+06,68.95239182692306
4.688214e+06,24.004554897025905
4.688215e+06,45.09303499683942
4.688216e+06,36.00180860225641
4.688217e+06,82.32494703389831
4.688218e+06,32.34878299650757
4.688219e+06,42.748589341692785
4.68822e+06,34.901096596724834
4.688221e+06,50.32790792092553
4.688222e+06,62.322916666666664
4.688223e+06,75.44468354431643
4.688224e+06,59.059841269841236
4.688225e+06,56.21993681185508
4.688226e+06,41.602600206018984
4.688227e+06,43.804661016949154
4.688228e+06,49.623399937839075
4.688229e+06,70.52600000000002
4.68823e+06,46.67447772315151
4.688231e+06,46.86779685710852
4.688232e+06,50.29480328094573
4.688233e+06,71.6962141175873
4.688234e+06,60.58596491228066
4.688235e+06,43.64234683186764
4.688236e+06,63.18625653592516
4.688237e+06,76.64687500000002
4.688238e+06,62.57708333333327
4.688239e+06,35.770875626765765
4.68824e+06,25.65458095445704
4.688241e+06,45.526860058512604
4.688242e+06,45.62473697422078
4.688243e+06,71.29459939225299
4.688244e+06,55.290175000375
4.688245e+06,50.239048777378876
4.688246e+06,70.16666666666667
4.688247e+06,46.42432865910891
4.688248e+06,63.32083333333335
4.688249e+06,60.135294117647014
4.68825e+06,58.8203125
4.688251e+06,55.41115006911626
4.688252e+06,43.41919231738858
4.688253e+06,58.883557886906985
4.688254e+06,44.728884749181354
4.688255e+06,41.68532143984252
4.688256e+06,43.90149747209524
4.688257e+06,40.708492808235
4.688258e+06,37.500585676812506
4.688259e+06,49.50627977544942
4.68826e+06,42.8526397515528
4.688261e+06,43.76190476190476
4.688262e+06,75.58564438164706
4.688263e+06,48.578447589023796
4.688264e+06,63.08667763157888
4.688265e+06,45.12137177264835
4.688266e+06,46.21906648974125
4.688267e+06,44.131867271308636
4.688268e+06,48.006088303030765
4.688269e+06,49.76809939385806
4.68827e+06,46.37375594940157
4.688271e+06,72.41375055555557
4.688272e+06,54.857964601769844
4.688273e+06,62.009403669724676
4.688274e+06,62.152100840336146
4.688275e+06,64.38037049898301
4.688276e+06,47.68589544747023
4.688277e+06,27.13188428460156
4.688278e+06,47.31162957600001
4.688279e+06,16.80995260663507
4.68828e+06,46.678961370550724
4.688281e+06,43.22939688664151
4.688282e+06,76.90602389705882
4.688283e+06,76.97002784980769
4.688284e+06,44.372030237850744
4.688285e+06,54.625500774
4.688286e+06,81.80262693861394
4.688287e+06,48.23516396226415
4.688288e+06,63.510014213785695
4.688289e+06,34.916173329632656
4.68829e+06,47.954299991792794
4.688291e+06,43.60681818181818
4.688292e+06,68.61760281718307
4.688293e+06,46.580193661971826
4.688294e+06,81.62246238172186
4.688295e+06,84.45684210526315
4.688296e+06,82.940625
4.688297e+06,56.52277386579774
4.688298e+06,34.98492683544444
4.688299e+06,81.66438356164383
4.6883e+06,48.73185142872449
4.688301e+06,63.31369011698611
4.688302e+06,83.35008903395551
4.688303e+06,83.82820512820507
4.688304e+06,57.109846645864586
4.688305e+06,80.34411764705884
4.688306e+06,21.04783463260328
4.688307e+06,63.98439245412962
4.688308e+06,45.46029411764706
4.688309e+06,45.41343714086426
4.68831e+06,47.80640355465766
4.688311e+06,44.43880482589313
4.688312e+06,47.15778688563935
4.688313e+06,79.01148570297036
4.688314e+06,55.80991804713845
4.688315e+06,66.08904109589044
4.688316e+06,61.55595930232558
4.688317e+06,49.03759757599999
4.688318e+06,52.46825041790697
4.688319e+06,45.2561104
4.68832e+06,44.854371584765026
4.688321e+06,48.61832428877174
4.688322e+06,62.09900990099002
4.688323e+06,58.4925
4.688324e+06,50.465020059571444
4.688325e+06,44.691659083243486
4.688326e+06,42.61185255803333
4.688327e+06,83.726840289
4.688328e+06,46.91459437453072
4.688329e+06,34.86103766025641
4.68833e+06,66.89373147243333
4.688331e+06,53.08956819448838
4.688332e+06,34.44600128321608
4.688333e+06,68.6397531065
4.688334e+06,51.591292730395054
4.688335e+06,76.19581423657336
